entry,category,subcategory1,subcategory2,distillery,bottle,region,ABV,age,notes,occasion,retired
1,Agave,Mezcal,,Bozal,Ensamble,"Oaxaca, Mexico",47.00%,,,Ceramic Anniversary,
1,Agave,Mezcal,,Vago,Elote,"Oaxaca, Mexico",50.00%,,,,
1,Agave,Tequila,,Kirkland Signature,Añejo,"Jalisco, Mexico",40.00%,,,,
1,"Amaro, Liquers and Vermouth",All,,Benedictine,Benedictine,France,40.00%,,,,
1,"Amaro, Liquers and Vermouth",All,,Letterpress Distilling,Amaro Amorino,"Washington, USA",32.00%,,,,
1,"Amaro, Liquers and Vermouth",All,,Letterpress Distilling,Amaro Amorino Riserva #3,"Washington, USA",40.00%,,,,
1,"Amaro, Liquers and Vermouth",Amaro,,Fast Penny Spirits,Amaricano,"Washington, USA",30.00%,,,,
1,"Amaro, Liquers and Vermouth",Amaro,,Highside Distiling,Amaro Mele,"Washington, USA",40.00%,,Apple spirit,,
1,"Amaro, Liquers and Vermouth",Amaro,,Highside Distiling,Nocino,"Washington, USA",32.00%,,,,
1,"Amaro, Liquers and Vermouth",Amaro,,Townshend's,Pacific Northwest Fernet,"Oregon, USA",40.00%,,,,
1,"Amaro, Liquers and Vermouth",Liquer,,St. Germain,Elderflower Liquer,France,20.00%,,,,
1,"Amaro, Liquers and Vermouth",Liqueur,,Campari,Campari,Italy,24.00%,,,,
1,"Amaro, Liquers and Vermouth",Liqueur,,Maraska,Maraschino Cherry Liqueur,Croatia,32.00%,,,,
1,"Amaro, Liquers and Vermouth",Liqueur,,Townshend's,Smoke Tea Liqueur,"Oregon, USA",35.00%,,,,
1,"Amaro, Liquers and Vermouth",Liqueur,,Townshend's,Sweet Tea Liqueur,"Oregon, USA",35.00%,,,,
1,Gin,All,,Arbutus Distllery,Blue Gin,"Vancouver, Canada",40.00%,,,,
1,Gin,All,,Bainbridge Organic Distillers,Islay Cask Douglas Fir Gin,"Washington, USA",45.00%,,,,
1,Gin,All,,Big Gin,Peat Barreled,"Washington, USA",47.00%,,,,
1,Gin,All,,Empirical Spirits,Charlene McGee,"Copenhagen, Denmark",40.00%,,Peated Barly with Smoked Juniper Aged in Olorsor Casks,,
1,Gin,All,,Empress 1908,Oaken Gin,"Victoria, Canada",42.50%,,,,
1,Gin,All,,FEW,Breakfast Gin,"Illinois, USA",42.00%,,Distilled with Earl Grey Tea,,
1,Gin,All,,Highside Distiling,Gin,"Washington, USA",44.00%,,Uses distilled apples as its base,,
1,Gin,All,,Jin Jiji,India Dry Gin,India,43.00%,,,,
1,Gin,All,,Orcas Island Distillery,Ferry Dock Genever,"Washington, USA",40.00%,,,,
1,Gin,All,,Plymouth,Navy Strenght,"Plymouth, UK",57.00%,,,,
1,Gin,All,,Rabbit Hole,Bespoke Gin,"Kentucky, USA",44.50%,,,Yosi's Bachelor Party,
1,Gin,All,,Raincity Distillery,Iron Buddah Gin,"Squamish, Canada",43.00%,,,,
1,Gin,All,,Raincity Distillery,Last Garden Gin,"Squamish, Canada",43.00%,,,,
1,Gin,All,,Rainier,Mountain Fresh Gin,"Washington, USA",40.00%,,It's the water!,,
1,Gin,All,,Uncle Val's,Botanical Gin,"California, USA",45.00%,,,,
